"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,1,2,13,56.00954,"2045.jpg","1052.jpg",50,49,0,"y",2,1,906.97,0.24,0.28,57.42484,"Low_Value"
"MRI_faces_102",1,2,1,2,14,66.00956,"1060.jpg","1127.jpg",52,51,0,"y",2,1,993.93,0.24,0.24,67.5099,"Low_Value"
"MRI_faces_102",1,2,1,2,15,72.01052,"2015.jpg","1191.jpg",14,18,1,"b",1,1,850.96,0.7,0.66,73.36095,"High_Value"
"MRI_faces_102",1,2,1,2,16,75.01109,"1060.jpg","1052.jpg",52,49,0,"b",2,0,1256.44,0.24,0.28,76.77395,"Low_Value"
"MRI_faces_102",1,2,1,2,17,79.01173,"2010.jpg","1191.jpg",8,18,1,"b",1,1,791.77,0.77,0.66,80.31214,"High_Value"
"MRI_faces_102",1,2,1,2,18,84.01273,"1035.jpg","1031.jpg",7,17,0,"b",1,0,751.74,0.79,0.67,85.26299,"High_Value"
"MRI_faces_102",1,2,1,2,19,91.01389,"1150.jpg","2149.jpg",53,46,0,"y",2,1,786.6,0.22,0.29,92.30761,"Low_Value"
"MRI_faces_102",1,2,1,2,20,96.01477,"2010.jpg","2212.jpg",8,10,1,"b",1,1,959.71,0.77,0.75,97.47419,"High_Value"
"MRI_faces_102",1,2,1,2,21,99.01523,"1216.jpg","1035.jpg",16,7,1,"y",1,0,1181.26,0.68,0.79,100.699,"High_Value"
"MRI_faces_102",1,2,1,2,22,105.0163,"1150.jpg","1019.jpg",53,43,0,"b",2,0,1091.17,0.22,0.35,106.6077,"Low_Value"
"MRI_faces_102",1,2,1,2,23,109.017,"1031.jpg","2153.jpg",17,12,1,"y",1,0,863.48,0.67,0.72,110.3744,"High_Value"
"MRI_faces_102",1,2,1,2,24,121.019,"1191.jpg","1031.jpg",18,17,0,"y",1,1,1110.44,0.66,0.67,122.6246,"High_Value"
