** CONVERTED FROM /Users/tomsalomon/Drive/Experiment_Israel/Codes/MRI_faces/Output/MRI_faces_113_Training_run_12_to_run_14_18-Jul-2016_14h32m.edf using edfapi 4.0 MacOS X Jul  4 2014 on Mon Jul  9 15:09:03 2018
** DATE: Mon Jul 18 14:32:18 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.04 Sep 25 2014
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BHC
** SERIAL NUMBER: CLO-ZAF17
** CAMERA_CONFIG: ZAF17140.SCD
**

MSG	3081778 DRIFTCORRECT R RIGHT at 960,540  OFFSET 0.77 deg.  -36.8,47.0 pix.
INPUT	3120400	127
MSG	3120400 RECCFG CR 250 2 1 R
MSG	3120400 ELCLCFG MLRR
MSG	3120400 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3120400 THRESHOLDS R 68 225
MSG	3120400 ELCL_WINDOW_SIZES 176 188 0 0
MSG	3120400 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	3120400 ELCL_PROC CENTROID (3)
MSG	3120400 ELCL_PCR_PARAM 5 3.0
START	3120401 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2	INPUT
SFIX R   3120401
MSG	3120401 !MODE RECORD CR 250 2 1 R
3120889	 2079.8	  287.2	  129.0	  127.0	...
3120893	 2089.2	  337.4	  134.0	  127.0	...
3120897	 2105.0	  468.4	  165.0	  127.0	...
3120901	 2103.0	  585.2	  226.0	  127.0	...
3120905	 2038.7	  724.5	  305.0	  127.0	...
3120909	 1817.7	  886.6	  463.0	  127.0	...
3120913	 1117.9	  928.2	  856.0	  127.0	...
3120917	  948.0	  860.0	 1026.0	  127.0	...
3120921	  954.7	  818.7	 1111.0	  127.0	...
3120925	  959.1	  773.4	 1177.0	  127.0	...
3120929	  962.2	  731.4	 1239.0	  127.0	...
3120933	  961.2	  686.2	 1290.0	  127.0	...
3120937	  957.2	  643.0	 1328.0	  127.0	...
3120941	  952.0	  609.1	 1356.0	  127.0	...
3120945	  943.2	  586.4	 1377.0	  127.0	...
3120949	  935.3	  589.9	 1380.0	  127.0	...
ESACC R  3120797	3120949	156	   -170	    876	    -84	    538	   1.33	   2066	  910.3	  693.8	  935.3	  589.9	   1.33	   2066
SFIX R   3120953
3120953	  928.4	  614.7	 1378.0	  127.0	...
3120957	  925.9	  636.5	 1376.0	  127.0	...
3120961	  923.5	  646.3	 1375.0	  127.0	...
3120965	  922.6	  649.7	 1373.0	  127.0	...
3120969	  923.3	  652.6	 1374.0	  127.0	...
3120973	  923.0	  652.7	 1378.0	  127.0	...
3120977	  922.8	  652.2	 1378.0	  127.0	...
3120981	  921.9	  652.6	 1377.0	  127.0	...
3120985	  921.8	  654.7	 1374.0	  127.0	...
3120989	  919.8	  662.1	 1379.0	  127.0	...
