trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
277,276.0322,MVI_0936_new.avi,none,none,TRUE
278,277.0322,MVI_0937_new.avi,none,none,TRUE
279,278.0322,MVI_0929_new.avi,none,none,TRUE
280,279.0323,MVI_0929_new.avi,0.70407,b,TRUE
281,280.0318,MVI_0920_new.avi,none,none,TRUE
282,281.0323,MVI_0931_new.avi,none,none,TRUE
283,282.0323,MVI_0922_new.avi,none,none,TRUE
284,283.0322,MVI_0915_new.avi,none,none,TRUE
285,284.0323,MVI_0917_new.avi,none,none,TRUE
286,285.0322,MVI_0917_new.avi,0.66257,b,TRUE
287,286.0322,MVI_0919_new.avi,none,none,TRUE
288,287.0319,MVI_0935_new.avi,none,none,TRUE
289,288.0371,Opener.avi,none,none,TRUE
290,289.0587,Flag.avi,none,none,TRUE
291,290.0381,Flag.avi,0.72359,b,TRUE
292,291.0386,Tire.avi,none,none,TRUE
293,292.0383,Water.avi,none,none,TRUE
294,293.0384,Water.avi,none,none,FALSE
295,294.0383,Coffee.avi,0.016524,b,FALSE
296,295.0384,Toilet.avi,none,none,TRUE
297,296.0381,Leaves.avi,none,none,TRUE
298,297.0383,Candle.avi,none,none,TRUE
299,298.0383,Tennis.avi,none,none,TRUE
300,299.0375,Globe.avi,none,none,TRUE
301,300.0383,StopWatch.avi,none,none,TRUE
302,301.0385,Discs.avi,none,none,TRUE
303,302.038,RecPlayer.avi,none,none,TRUE
304,303.0384,Fan.avi,none,none,TRUE
305,304.0433,MVI_0917_new.avi,none,none,TRUE
306,305.0622,MVI_0917_new.avi,0.71035,b,TRUE
307,306.0455,MVI_0921_new.avi,none,none,TRUE
308,307.0445,MVI_0930_new.avi,none,none,TRUE
309,308.0446,MVI_0922_new.avi,none,none,TRUE
310,309.0447,MVI_0932_new.avi,none,none,TRUE
311,310.0446,MVI_0934_new.avi,none,none,TRUE
312,311.0446,MVI_0931_new.avi,none,none,TRUE
313,312.0446,MVI_0931_new.avi,none,none,FALSE
314,313.0446,MVI_0919_new.avi,0.021152,b,FALSE
315,314.0447,MVI_0920_new.avi,none,none,TRUE
316,315.0447,MVI_0935_new.avi,none,none,TRUE
317,316.0442,MVI_0929_new.avi,none,none,TRUE
318,317.0446,MVI_0936_new.avi,none,none,TRUE
319,318.0445,MVI_0915_new.avi,none,none,TRUE
320,319.0442,MVI_0937_new.avi,none,none,TRUE
321,,Fixation,,,
322,,Fixation,,,
323,,Fixation,,,
324,,Fixation,,,
325,,Fixation,,,
326,,Fixation,,,
327,,Fixation,,,
328,,Fixation,,,
329,,Fixation,,,
330,,Fixation,,,
331,,Fixation,,,
332,,Fixation,,,
333,,Fixation,,,
334,,Fixation,,,
335,,Fixation,,,
336,,Fixation,,,
